598,2415
1773,2576
408,1290
76,471
1380,1424
73,646
1328,794
300,877
24,462
94,415
119,2599
136,802
1010,3084
45,81
127,73
253,2348
1206,2788
496,2704
210,2672
252,1304
211,743
1018,283
102,1532
5,1703
344,2919
166,360
323,3884
284,608
131,1578
43,480
292,75
237,1860
1354,106
288,485
183,466
33,3031
115,318
190,116
735,2837
243,213
1105,563
214,3207
41,856
715,1236
14,5048
31,263
517,921
101,836
73,1076
53,689
621,42
3,133
314,505
269,45
363,633
75,799
251,1090
901,3398
47,1241
199,861
580,294
645,948
13,640
441,596
995,102
794,310
527,5657
461,586
279,199
1005,1938
247,2604
1664,2072
120,4994
1265,2629
69,1282
55,1079
396,1017
353,405
340,2736
143,260
764,498
213,368
249,7268
667,750
63,23
235,212
362,110
266,2330
591,361
268,1780
1764,69
960,305
169,682
238,172
342,1017
768,1792
320,1887
198,520
216,3792
407,1610
1360,722
492,51
593,351
1010,859
888,767
537,32
814,1247
896,3458
462,494
266,186
547,1647
143,456
428,3005
366,1276
153,5056
140,734
820,202
260,1347
932,853
16,2250
29,65
830,4736
53,153
958,250
624,38
757,2711
164,88
1228,2482
267,2739
319,47
462,1187
33,3593
521,2085
86,836
323,1108
114,430
785,1326
83,323
704,772
628,387
1094,61
248,123
279,333
434,420
250,2500
489,7446
919,1459
285,1497
101,4148
140,2247
210,694
1535,1356
1359,783
9,1544
42,20
1242,709
349,627
446,432
894,1965
351,131
501,171
216,610
214,381
383,445
358,2070
62,2018
2461,190
157,1544
67,458
104,2153
740,844
1588,2
1506,442
209,1835
144,398
690,774
608,662
1594,23
369,741
933,519
542,3084
378,882
353,9
119,192
839,3557
82,1851
170,4717
292,746
1805,183
220,1183
86,1420
15,690
34,431
746,553
107,185
611,733
1047,39
20,2805
192,311
1445,3807
399,2835
479,120
309,1042
197,3425
552,575
146,2540
293,956
94,512
537,1305
1017,324
9,1026
549,631
1245,84
351,134
450,4676
289,341
724,154
486,1051
118,97
117,1667
160,5563
204,2203
34,696
114,1386
1057,515
67,1523
105,1594
742,1130
508,2486
475,1665
887,1272
748,1479
237,399
314,1165
377,792
146,858
924,444
38,4283
129,504
74,2911
150,357
268,4752
1672,3559
95,1728
65,1191
603,3623
144,2070
732,1388
420,1498
852,807
239,968
9,947
297,594
427,742
473,3305
76,1166
821,3831
186,423
108,166
128,3188
1734,524
144,1094
22,3207
37,849
114,365
488,2161
148,690
644,579
791,1029
528,3307
329,959
967,134
270,528
475,441
272,935
119,169
183,1484
100,2875
4,39
1649,953
602,1059
734,1389
496,1058
